2017-01-10	CON	AlexanderJohnson	I am grateful for that question because it is important for the House to keep in mind the importance of the sanctions. The support for sanctions against Russia—for instance, over Ukraine—is not as strong as it should be in other parts of the European Union, and the UK is in the lead in keeping the pressure on.
2017-01-10	CON	AlexanderJohnson	I make no comment on the electoral efficacy of the hacking of the DNC emails, except to say that it is pretty clear that it did come from the Russians. The point that we have made to the incoming Administration, and indeed on Capitol Hill, is just this: as I said earlier, we do think that the Russian state—the Putin Kremlin—is up to all sorts of very dirty tricks, such as cyber-warfare, but it would be folly for us further to demonise Russia or to push Russia into a corner, so a twin-track strategy of engagement and vigilance is what is required.
2017-01-10	CON	AlexanderJohnson	I really must ask the right hon. Gentleman to go back and look at what I said previously. I have never been supportive of the policies of President Putin in Syria. Quite frankly, I do think it is important to understand that Russia is doing many bad things—if we look at what they have done on cyber-warfare and what they are doing in the western Balkans, there is no doubt that they are up to no good—but it is also important for us to recognise, and I think he will find that this is exactly what I said a few years ago, that there may be areas where we can work together, and that is what we should do.
2017-01-10	CON	SimonBurns	May I ask the Foreign Secretary what agreement there will be on policy towards Russia between the British Government and the new US Administration, given the new Administration’s indebtedness to President Putin through the leaking and hacking of emails of the Democratic National Committee and Hillary Clinton’s campaign chairman?
2017-01-10	CON	VictoriaAtkins	T5. When the Russian air force skirts along British airspace, Royal Air Force pilots fly Typhoons from my constituency to see them off. Does my right hon. Friend believe that our economic sanctions against Russia are hitting the targets just as effectively as our RAF pilots are?
2017-01-10	LAB	BarrySheerman	The Foreign Secretary speaks of our relationship with Germany as being very good and special. Is it not a fact that many leading Germans are concerned about Britain leaving the European Union and the impact that that will have on Europe’s security, particularly in terms of our commitment to NATO, given the instability we see in Russia?
2017-01-10	LAB	KeithVaz	I thank the Minister and the Foreign Secretary for their personal efforts in trying to broker a ceasefire. That is the key: we need a ceasefire in the same way as Turkey and Russia managed to achieve one for Syria. Have there been any further discussions with the United States about getting this back on to the agenda of the Security Council? I know that the Foreign Secretary was in America at the end of last week, so was this issue raised? When can we get this back for discussion at the UN?
2017-01-11	CON	JamesGray	The Secretary of State’s heart is very much in the right place, as we all know, but the fact is that the greatest humanitarian catastrophe of modern times is taking place in Aleppo, Raqqa and Mosul today. In contrast to the warm words that we have heard in the exchanges of the past few minutes, should we not now admit that there is precious little that we in the liberal west can do to alleviate the appalling circumstances in Aleppo unless we have the support of the United Nations and Russia?
2017-01-11	LAB	AlisonMcGovern	The Secretary of State is already talking about Aleppo in the past tense, but the besiegement is still happening right now, and the British Government must do more. What representations has she made to the Foreign Secretary about putting in place more and harder sanctions on Russia?
2017-01-12	CON	DavidLidington	The Foreign Secretary and, indeed, the Prime Minister have repeatedly made clear their concerns about the cyber-capacity and cyber-tactics of Russia and other countries with regard to the interests of the United Kingdom. The hon. Lady will understand that I cannot go into details about these matters, but the issues are considered regularly by the National Security Council.
2017-01-12	CON	FeliciaDrummond	These events started as an attempt to put the democratically elected Government back in place, but Yemen has now become a failed state, with many different actors, including Iran, Russia, al-Qaeda and Daesh, all creating chaos. Even worse, there is a humanitarian crisis, with millions of people displaced and thousands dying
2017-01-12	LAB	GrahamJones	I put this to the hon. Gentleman: you have seen the arms sales from Putin and Moscow to Assad, and you have seen the devastation in Aleppo, so I find it incredible that you can make the argument about ethical arms sales and our ethical arms sales, and then allow Saudi Arabia, using our petrol pounds, to buy arms from whoever it wants. You see from Aleppo the devastation that could be caused if they bought Russian arms. That is a ridiculous argument.
2017-01-12	LAB	GrahamJones	So when I see 150,000 Saudi troops marching to the south through Aden and Iraq, and when I see the UAE send troops in—if I lived in the area I would prefer that as a force—I am at least satisfied that some degree of civil and military force is moving into place to try to secure the area. Instead, as is happening, as we see from the UN report, towns and communities are becoming fearful. Salafists and extremists then turn to their towns and communities and say, “The only way we can defend ourselves from those Houthis and Saleh supporters is to raise the black flag.” It will be terrible, because we will not be able to remove ISIS from those communities for years to come. We are storing up a major problem. So when I see the Saudi and UAE troops moving to south Yemen, it has to be welcomed. Let us not forget that it is not just the Houthis and the Saleh alliance who are using child soldiers; the resistance forces who are fighting them are doing so as well. We need a restoration of civil governance. We cannot support a coup against a legitimate Government, even if that Government are not popular or efficient. We cannot allow that to happen. I want to talk about arms, because some issues relating to arms have not yet been discussed. Who is supplying arms to Yemen? The UN register of interests gives us a list of the countries that have done so. They are: Russia, Bulgaria, Moldova, France, the USA, Ukraine, Belarus and China. Those armaments have included tanks, attack aircraft, rocket launchers and MiG jets. All those have been provided to the nation of Yemen. But I will tell you one country that has not supplied arms to Yemen: the United Kingdom. We have not supplied arms to Yemen, but all those other countries have done so. That ought to be noted. We have a good, robust system of arms export controls, far better than many others—[Interruption.] I apologise, Madam Deputy Speaker. I shall end my remarks by saying that 2017 will be the year in which we will seek a ceasefire, and that I shall stand up and oppose anyone who wants to jump on the passing bandwagon of using Yemen to stop arms sales to Saudi Arabia.
2017-01-12	LAB	KeithVaz	I was delighted by the ceasefire brokered on Syria, where the Russians and the Turks were able to make sure that we had peace in Syria. I know it is a bit wobbly, but it was followed by the UN endorsing that ceasefire. If we can get this in Syria, why can we not have it in Yemen? I am very pleased with the role the Foreign Secretary has played and the honesty with which he has spoken about Yemen. If we take him at his word, the British Foreign Secretary will be working with the new US Secretary of State and with the Russians, who are now the friends of the Americans—or will be after 20 January. The Chinese will go along with the ceasefire—I met the Chinese ambassador recently and asked whether China would support it and he said it would—and the French are on board. As the five permanent members are going to be on board and the other countries are so supportive, I think we can get this through. Will the Minister therefore tell us when that timetable is going to be achieved
2017-01-12	LAB	MichaelGapes	In a sense, what we are seeing in Syria is an alliance between the Alawites, who belong to a complicated branch that is close to Shi’a-ism, and Iran, Hezbollah, and, of course, Putin’s Russia. In Yemen, we have something similar: a coalition of Sunni Governments supporting a weak Government in what has become a failed state and, on the other side, a coalition with former President Saleh meddling and refusing to accept the transition to the new Government. A political solution is probably even more difficult to achieve here than in Syria, because the United States is not in any real position to influence the outcome, whereas Russia has an influence in Syria. Potentially, that has serious ramifications. The Houthis fired missiles at United Arab Emirates’ ships. They also fired missiles at United States’ naval vessels. There is the potential for this conflict to widen. This is a regional security issue, and it is quite right that the United Nations Security Council has to engage with it
